MI,csk,rcb,dc,kkr,RR,kixp,srh
Rohit Sharma,MS Dhoni,Virat Kohli,Shreyas Iyer,Andre Russell (O),Steven Smith (O),David Miller (O),David Warner (O)
Jasprit Bumrah,Suresh Raina,AB de Villiers (O),Shikhar Dhawan,Sunil Narine (O),Ajinkya Rahane,Mayank Agarwal,Bhuvneshwar Kumar
Hardik Pandya,Ravindra Jadeja,Yuzvendra Chahal,Prithvi Shaw,Kuldeep Yadav,Dhawal Kulkarni,Karun Nair,Rashid Khan (O)
Krunal Pandya,Faf du Plessis (O),Pawan Negi,Colin Ingram (O),Piyush Chawla,Aryaman Birla,Chris Gayle (O),Deepak Hooda
Kieron Pollard (O),Dwayne Bravo (O),Moeen Ali (O),Manjot Kalra,Robin Uthappa,Rahul Tripathi,Andrew Tye (O),Ricky Bhui
Evin Lewis (O),Chaitanya Bishnoi,Colin de Grandhomme (O),Jalaj Saxena,Nitish Rana,Stuart Binny,Mujeeb Ur Rahman (O),Manish Pandey
Suryakumar Yadav,Dhruv Shorey,Washington Sundar,Sherfane Rutherford (O),Shubman Gill,Mahipal Lomror,Ravichandran Ashwin,Kane Williamson (O)
Siddhesh Lad,Murali Vijay,Nathan Coulter-Nile (O),Hanuma Vihari,Rinku Singh,Jaydev Unadkat,Ankit Rajpoot,Yusuf Pathan
Mayank Markande,Kedar Jadhav,Mohammed Siraj,Colin Munro (O),Chris Lynn (O),S Midhun,Lokesh Rahul,Shakib Al Hasan (O)
Anukul Sudhakar Roy,Shane Watson (O),Navdeep Saini,Ishant Sharma,Kamlesh Nagarkoti,Shreyas Gopal,PrabhSimran Singh,Billy Stanlake (O)
Jason Behrendorff (O),Harbhajan Singh,Kulwant Khejroliya,Nathu Singh,Shivam Mavi,Krishnappa Gowtham,Sarfaraz Khan,Sandeep Sharma
Rahul Chahar,Deepak Chahar,Tim Southee (O),Trent Boult (O),Dinesh Karthik,Jofra Archer (O),Agnivesh Ayachi,Khaleel Ahmed
Ben Cutting (O),Lungisani Ngidi (O),Umesh Yadav,Sandeep Lamichhane (O),Nikhil Naik,Ben Stokes (O),Harpreet Brar,Siddarth Kaul
Aditya Tare,Monu Kumar,Parthiv Patel,Kagiso Rabada (O),Joe Denly (O),Jos Buttler (O),Moises Henriques (O),T Natarajan
Ishan Kishan,Shardul Thakur,Prayas Barman,Amit Mishra,Shrikant Mundhe,Prashant Chopra,Arshdeep Singh,Basil Thampi
Rasikh Salam,KM Asif,Himmat Singh,Avesh Khan,Anrich Nortje (O),Sanju Samson,Darshan Nalkande,Mohammad Nabi (O)
Anmolpreet Singh,Imran Tahir (O),Akshdeep Nath,Harshal Patel,Harry Gurney (O),Shashank Singh,Murugan Ashwin,Shreevats Goswami
Yuvraj Singh,Mitchell Santner (O),Shivam Dube,Rahul Tewatia,Lockie Ferguson (O),Riyan Parag,Varun Chakravarthy,Wriddhiman Saha
Barinder Sran,Karn Sharma,Devdutt Padikkal,Jayant Yadav,Yarra Prithviraj,Liam Livingstone (O),Hardus Viljoen (O),Martin Guptill (O)
Lasith Malinga (O),N Jagadeesan,Gurkeerat Singh Mann,Bandaru Ayyappa,Carlos Brathwaite (O),Manan Vohra,Mohammed Shami,Abhishek Sharma
Adam Milne (O),Ambati Rayudu,Shimron Hetmyer (O),Keemo Paul (O),Prasidh Krishna,Shubham Ranjane,Sam Curran (O),Vijay Shankar
Mitchell McClenaghan (O),Sam Billings (O),Milind Kumar,Axar Patel,none,Ashton Turner (O),Nicholas Pooran (O),Shahbaz Nadeem
Pankaj Jaiswal,Ruturaj Gaikwad,Heinrich Klaasen (O),Chris Morris (O),none,Varun Aaron,Mandeep Singh,Jonny Bairstow (O)
Quinton de Kock (O),Mohit Sharma,Marcus Stoinis (O),Ankush Bains,none,Oshane Thomas (O),none,none
none,David Willey (O),none,Rishabh Pant,none,Ish Sodhi (O),none,none
